sym,edate,entry_date,exit_date,score,entry_price,exit_price,strike,pre_iv_%,post_iv_%,entry_put,exit_put,contracts,stock_chg_%,return_%,dollar_pl,breakeven_%,hv30_%,vsurge,r5d,r20d,dist_52h,atr,regime,win
META,2019-04-09,2019-04-05,2019-04-10,60,191.32,167.21,187.5,55.8,33.5,4.063,20.203,1,-12.61,397.27,1614.03,-3.4,39.9,1.22,6.47,7.52,-1.95,6.48,bull,1
INTU,2019-04-11,2019-04-09,2019-04-12,77,311.27,320.02,305.04,49.1,29.4,5.504,0.24,1,2.81,-95.64,-526.39,-3.1,35.1,2.01,7.01,17.59,-1.43,7.86,bull,0
NET,2019-04-11,2019-04-09,2019-04-12,77,61.54,56.24,60.31,77.4,46.4,2.011,4.136,2,-8.61,105.66,425.01,-4.4,55.3,1.08,7.12,28.31,-2.41,3.31,bull,1
ADBE,2019-04-15,2019-04-11,2019-04-16,62,299.72,282.91,293.72,40.1,24.1,3.912,10.89,1,-5.61,178.38,697.78,-2.7,28.6,1.08,6.0,16.08,-0.95,9.11,bull,1
MDB,2019-04-17,2019-04-15,2019-04-18,82,228.07,219.27,223.51,81.4,48.8,7.944,6.877,1,-3.86,-13.43,-106.7,-4.6,58.1,0.86,37.21,76.39,-2.46,13.13,bull,0
ADSK,2019-04-19,2019-04-17,2019-04-22,75,339.3,371.12,332.52,49.1,29.5,6.012,0.0,1,9.38,-99.99,-601.14,-3.1,35.1,0.82,7.26,16.63,-0.93,11.02,bear,0
ZS,2019-04-22,2019-04-18,2019-04-23,67,71.04,58.38,69.62,77.7,46.6,2.332,11.201,2,-17.81,380.25,1773.77,-4.4,55.5,0.75,11.62,17.95,-26.88,3.06,bull,1
DDOG,2019-04-22,2019-04-18,2019-04-23,62,142.48,168.33,139.64,79.7,47.8,4.838,0.0,1,18.14,-100.0,-483.83,-4.5,57.0,0.99,2.62,28.69,-0.66,6.2,bull,0
MRVL,2019-04-22,2019-04-18,2019-04-23,77,60.28,56.03,59.07,53.2,31.9,1.194,3.059,4,-7.05,156.15,745.87,-3.3,38.0,0.63,17.11,49.58,-1.58,2.53,bull,1
GOOGL,2019-07-09,2019-07-05,2019-07-10,75,92.33,85.0,90.48,52.2,31.3,1.782,5.471,2,-7.94,207.04,737.87,-3.2,37.3,1.16,5.93,21.63,-0.66,2.77,bear,1
OKTA,2019-07-12,2019-07-10,2019-07-15,80,104.12,96.66,102.03,74.1,44.5,3.218,5.608,1,-7.16,74.27,239.01,-4.3,52.9,2.03,5.31,19.82,-8.65,5.73,bear,1
PLTR,2019-07-15,2019-07-11,2019-07-16,65,8.63,8.5,8.45,81.9,49.1,0.301,0.146,16,-1.42,-51.39,-247.4,-4.7,58.5,2.27,13.45,-1.4,-32.57,0.45,bear,0
ADBE,2019-07-15,2019-07-11,2019-07-16,75,403.38,456.02,395.31,50.0,30.0,7.322,0.0,1,13.05,-100.0,-732.16,-3.1,35.7,1.05,7.56,20.89,-1.07,12.65,bear,0
ZS,2019-07-17,2019-07-15,2019-07-18,75,68.12,63.2,66.75,73.8,44.3,2.094,3.696,2,-7.22,76.46,320.28,-4.3,52.7,1.19,10.6,17.93,-29.89,3.25,bear,1
CRWD,2019-07-19,2019-07-17,2019-07-22,88,119.52,136.14,117.13,77.8,46.7,3.933,0.002,1,13.91,-99.96,-393.13,-4.4,55.6,1.4,21.22,34.16,-1.28,6.12,bull,0
